Season,Winner,Result,Looser,Walkover,WinnerGoals,LooserGoals
 1985-86,Garbarnia Kraków,3:0,22 p.p. Strzelec Siedlce,True,3,0
 1985-86,Warszawianka,3:0,22 p.p. Strzelec Siedlce,True,3,0
 1985-86,ŁKS Łódź,3:0,22 p.p. Strzelec Siedlce,True,3,0
 1985-86,Warta Poznań,3:0,22 p.p. Strzelec Siedlce,True,3,0
 1985-86,Podgórze Kraków,3:0,22 p.p. Strzelec Siedlce,True,3,0
 1985-86,Polonia Warszawa,3:0,22 p.p. Strzelec Siedlce,True,3,0
 1985-86,Ruch Wielkie Hajduki,3:0,22 p.p. Strzelec Siedlce,True,3,0
 1985-86,Cracovia,3:0,22 p.p. Strzelec Siedlce,True,3,0
 1985-86,Garbarnia Kraków,1:0,Podgórze Kraków,False,1,0
 1985-86,Warszawianka,2:0,22 p.p. Strzelec Siedlce,False,2,0
 1985-86,Polonia Warszawa,2:1,Legia Warszawa,False,2,1
 1985-86,Wisła Kraków,4:1,Warszawianka,False,4,1
 1985-86,ŁKS Łódź,2:1,22 p.p. Strzelec Siedlce,False,2,1
 1985-86,Ruch Wielkie Hajduki,3:0,Cracovia,False,3,0
 1985-86,Pogoń Lwów,3:1,Podgórze Kraków,False,3,1
 1985-86,Warta Poznań,2:2,Polonia Warszawa,False,2,2
 1985-86,Wisła Kraków,0:0,Polonia Warszawa,False,0,0
 1985-86,Cracovia,4:1,Pogoń Lwów,False,4,1
 1985-86,22 p.p. Strzelec Siedlce,5:2,Warta Poznań,False,5,2
 1985-86,Legia Warszawa,1:1,Garbarnia Kraków,False,1,1
 1985-86,ŁKS Łódź,2:0,Podgórze Kraków,False,2,0
 1985-86,Garbarnia Kraków,2:0,Polonia Warszawa,False,2,0
 1985-86,Podgórze Kraków,2:0,Legia Warszawa,False,2,0
 1985-86,Warta Poznań,8:0,Warszawianka,False,8,0
 1985-86,Cracovia,4:3,ŁKS Łódź,False,4,3
 1985-86,Ruch Wielkie Hajduki,4:1,Wisła Kraków,False,4,1
 1985-86,Pogoń Lwów,3:0,22 p.p. Strzelec Siedlce,False,3,0
 1985-86,Garbarnia Kraków,4:0,Cracovia,False,4,0
 1985-86,Ruch Wielkie Hajduki,13:0,Podgórze Kraków,False,13,0
 1985-86,Legia Warszawa,3:0,22 p.p. Strzelec Siedlce,True,3,0
 1985-86,Ruch Wielkie Hajduki,3:1,ŁKS Łódź,False,3,1
 1985-86,Legia Warszawa,1:0,Warszawianka,False,1,0
 1985-86,Polonia Warszawa,2:2,Podgórze Kraków,False,2,2
 1985-86,Wisła Kraków,2:2,Warta Poznań,False,2,2
 1985-86,Legia Warszawa,2:2,Ruch Wielkie Hajduki,False,2,2
 1985-86,ŁKS Łódź,1:0,Polonia Warszawa,False,1,0
 1985-86,Garbarnia Kraków,4:0,Warszawianka,False,4,0
 1985-86,Podgórze Kraków,3:0,22 p.p. Strzelec Siedlce,True,3,0
 1985-86,Wisła Kraków,2:0,Pogoń Lwów,False,2,0
 1985-86,Cracovia,1:0,Warta Poznań,False,1,0
 1985-86,ŁKS Łódź,2:1,Garbarnia Kraków,False,2,1
 1985-86,Polonia Warszawa,0:0,22 p.p. Strzelec Siedlce,False,0,0
 1985-86,Pogoń Lwów,1:0,Legia Warszawa,False,1,0
 1985-86,Warszawianka,3:2,Podgórze Kraków,False,3,2
 1985-86,Polonia Warszawa,2:1,Cracovia,False,2,1
 1985-86,Warta Poznań,2:0,ŁKS Łódź,False,2,0
 1985-86,Wisła Kraków,3:0,22 p.p. Strzelec Siedlce,False,3,0
 1985-86,Ruch Wielkie Hajduki,7:4,Garbarnia Kraków,False,7,4
 1985-86,Warszawianka,1:1,Polonia Warszawa,False,1,1
 1985-86,Ruch Wielkie Hajduki,5:3,22 p.p. Strzelec Siedlce,False,5,3
 1985-86,Pogoń Lwów,3:1,Warta Poznań,False,3,1
 1985-86,Cracovia,2:1,Wisła Kraków,False,2,1
 1985-86,Wisła Kraków,5:1,Podgórze Kraków,False,5,1
 1985-86,Legia Warszawa,2:1,Warta Poznań,False,2,1
 1985-86,Cracovia,4:0,Warszawianka,False,4,0
 1985-86,ŁKS Łódź,2:1,Pogoń Lwów,False,2,1
 1985-86,Pogoń Lwów,2:1,Warszawianka,False,2,1
 1985-86,ŁKS Łódź,2:0,Wisła Kraków,False,2,0
 1985-86,Warta Poznań,1:1,Ruch Wielkie Hajduki,False,1,1
 1985-86,Cracovia,3:2,Podgórze Kraków,False,3,2
 1985-86,Pogoń Lwów,4:1,Garbarnia Kraków,False,4,1
 1985-86,Legia Warszawa,3:2,Wisła Kraków,False,3,2
 1985-86,Garbarnia Kraków,2:2,Warta Poznań,False,2,2
 1985-86,Ruch Wielkie Hajduki,5:1,Pogoń Lwów,False,5,1
