Season,TeamName,MatchCount,Score,WinCount,DrawCount,LoseCount,GoalsScore,GoalsLose
 1985-86,Górnik Zabrze,30,46,21.0,4.0,5.0,70 , 17
 1985-86,Legia Warszawa,30,42,17.0,8.0,5.0,55 , 29
 1985-86,Widzew Łódź,30,41,15.0,11.0,4.0,40 , 25
 1985-86,Lech Poznań,30,36,12.0,12.0,6.0,36 , 29
 1985-86,GKS Katowice,30,31,10.0,11.0,9.0,46 , 45
 1985-86,Górnik Wałbrzych,30,30,10.0,10.0,10.0,41 , 50
 1985-86,Śląsk Wrocław,30,29,9.0,11.0,10.0,39 , 36
 1985-86,ŁKS Łódź,30,28,8.0,12.0,10.0,36 , 36
 1985-86,Ruch Chorzów,30,28,12.0,4.0,14.0,35 , 39
 1985-86,Pogoń Szczecin,30,27,8.0,11.0,11.0,44 , 44
 1985-86,Stal Mielec,30,25,10.0,5.0,15.0,25 , 32
 1985-86,Zagłębie Lubin,30,25,8.0,9.0,13.0,22 , 32
 1985-86,Motor Lublin,30,25,6.0,13.0,11.0,33 , 47
 1985-86,Lechia Gdańsk,30,24,7.0,10.0,13.0,23 , 35
 1985-86,Bałtyk Gdynia,30,23,7.0,9.0,14.0,28 , 47
 1985-86,Zagłębie Sosnowiec,30,20,6.0,8.0,16.0,24 , 54
 2013-14,GKS Bełchatów,34,63,18.0,9.0,7.0,50 , 27
 2013-14,Górnik Łęczna,34,61,17.0,10.0,7.0,45 , 27
 2013-14,Dolcan Ząbki,34,55,15.0,10.0,9.0,60 , 39
 2013-14,Arka Gdynia,34,54,15.0,9.0,10.0,53 , 40
 2013-14,Termalica Bruk-Bet Nieciecza,34,53,14.0,11.0,9.0,42 , 33
 2013-14,Olimpia Grudziądz,34,53,16.0,5.0,13.0,38 , 39
 2013-14,Wisła Płock,34,52,14.0,10.0,10.0,37 , 33
 2013-14,GKS Katowice,34,46,11.0,13.0,10.0,44 , 45
 2013-14,Sandecja Nowy Sącz,34,44,11.0,11.0,12.0,29 , 40
 2013-14,Miedź Legnica,34,44,11.0,11.0,12.0,42 , 37
 2013-14,Kolejarz Stróże,34,44,12.0,8.0,14.0,36 , 38
 2013-14,Flota Świnoujście,34,42,10.0,12.0,12.0,29 , 34
 2013-14,GKS Tychy,34,41,10.0,11.0,13.0,39 , 48
 2013-14,Chojniczanka Chojnice,34,41,9.0,14.0,11.0,35 , 33
 2013-14,Stomil Olsztyn,34,41,10.0,11.0,13.0,38 , 42
 2013-14,Puszcza Niepołomice,34,33,8.0,9.0,17.0,37 , 56
 2013-14,Energetyk ROW Rybnik,34,33,6.0,15.0,13.0,42 , 52
 2013-14,Okocimski Brzesko,34,23,4.0,11.0,19.0,18 , 51
 1939,Ruch Chorzów,14,18,8.0,2.0,4.0,50 , 23
 1939,Wisła Kraków,12,16,7.0,2.0,3.0,31 , 20
 1939,Pogoń Lwów,13,16,7.0,2.0,4.0,27 , 22
 1939,AKS Chorzów,12,15,6.0,3.0,3.0,30 , 14
 1939,Warta Poznań,12,15,7.0,1.0,4.0,34 , 20
 1939,Cracovia,13,14,7.0,0.0,6.0,23 , 32
 1939,Polonia Warszawa,12,12,5.0,2.0,5.0,28 , 28
 1939,Garbarnia Kraków,13,10,4.0,2.0,7.0,17 , 32
 1939,Warszawianka,11,5,2.0,1.0,8.0,16 , 29
 1939,Union Touring Łódź,12,3,1.0,1.0,10.0,15 , 51
 2004-05,Wisła Kraków,26,62,19.0,5.0,2.0,70 , 23
 2004-05,Dyskobolia Grodzisk W.,26,51,16.0,3.0,7.0,46 , 28
 2004-05,Legia Warszawa,26,47,13.0,8.0,5.0,42 , 19
 2004-05,Wisła Płock,26,41,12.0,5.0,9.0,35 , 30
 2004-05,Cracovia,26,40,12.0,4.0,10.0,37 , 29
 2004-05,Amica Wronki,26,38,10.0,8.0,8.0,29 , 28
 2004-05,Górnik Łęczna,26,36,10.0,6.0,10.0,36 , 36
 2004-05,Lech Poznań,26,34,10.0,4.0,12.0,34 , 40
 2004-05,Pogoń Szczecin,26,31,7.0,10.0,9.0,34 , 43
 2004-05,Polonia Warszawa,26,29,8.0,5.0,13.0,27 , 52
 2004-05,Górnik Zabrze,26,28,7.0,7.0,12.0,27 , 30
 2004-05,Zagłębie Lubin,26,28,6.0,10.0,10.0,31 , 41
 2004-05,Odra Wodzisław Śl.,26,24,7.0,3.0,16.0,27 , 41
 2004-05,GKS Katowice,26,16,4.0,4.0,18.0,23 , 58
 1949,Gwardia Kraków,22,30,13.0,4.0,5.0,50 , 21
 1949,Ogniwo Kraków,22,29,10.0,9.0,3.0,44 , 29
 1949,Kolejarz Poznań,22,27,10.0,7.0,5.0,60 , 37
 1949,Polonia Warszawa,22,27,11.0,5.0,6.0,43 , 29
 1949,AKS Chorzów,22,23,9.0,5.0,8.0,40 , 44
 1949,ŁKS Włókniarz Łódź,22,22,8.0,6.0,8.0,49 , 48
 1949,Warta Poznań,22,21,7.0,7.0,8.0,36 , 35
 1949,Ruch Chorzów,22,19,7.0,5.0,10.0,42 , 48
 1949,Legia Warszawa,22,19,7.0,5.0,10.0,37 , 43
 1949,Górnik Bytom,22,19,7.0,5.0,10.0,34 , 54
 1949,Polonia Bytom,22,17,6.0,5.0,11.0,37 , 43
 1949,Lechia Gdańsk,22,11,4.0,3.0,15.0,26 , 67
 1986-87,Górnik Zabrze,30,49,16.0,10.0,4.0,52 , 21
 1986-87,Pogoń Szczecin,30,44,15.0,10.0,5.0,64 , 39
 1986-87,GKS Katowice,30,43,14.0,10.0,6.0,48 , 26
 1986-87,Śląsk Wrocław,30,40,13.0,11.0,6.0,37 , 23
